Location,Borough,PostalTown,Latitude,Longitude
Abbey Wood,Greenwich,LONDON,51.487621,0.1140504
Acton,"Ealing, Hammersmith and Fulham",LONDON,0.0,0.0
Aldgate,City,LONDON,51.5142477,-0.0757186
Aldwych,Westminster,LONDON,51.5129401,-0.1181008
Anerley,Bromley,LONDON,51.41284785,-0.0653006032639425
Angel,Islington,LONDON,51.5319458,-0.1061056
Archway,Islington,LONDON,51.5654371,-0.1349977
Arnos Grove,Enfield,LONDON,51.6228975,-0.1268518
Balham,Wandsworth,LONDON,51.4428285,-0.1514426
Bankside,Southwark,LONDON,51.508302,-0.0962967
Barbican,City,LONDON,51.5201501,-0.0986832
Barnes,Richmond upon Thames,LONDON,51.4718962,-0.2387441
Barnsbury,Islington,LONDON,51.5389351,-0.114735
Battersea,Wandsworth,LONDON,51.4707933,-0.172214
Bayswater,Westminster,LONDON,51.5124135,-0.1876323
Bedford Park,Ealing,LONDON,51.49805155,-0.255735576874332
Belgravia,Westminster,LONDON,51.4982128,-0.1534998
Bellingham,Lewisham,LONDON,51.4329965,-0.0193376
Belsize Park,Camden,LONDON,51.5473926,-0.1683005
Bermondsey,Southwark,LONDON,51.4970125,-0.063268
Bethnal Green,Tower Hamlets,LONDON,51.5303456,-0.0561633
Blackfriars,City,LONDON,51.5115854,-0.1037671
Blackheath,Lewisham,LONDON,51.4663175,0.0085624
Blackheath Royal Standard,Greenwich,LONDON,51.4780366,0.0200679
Blackwall,Tower Hamlets,LONDON,51.5065004,-0.0064024
Bloomsbury,Camden,LONDON,51.523126,-0.1260664
Bounds Green,Haringey,LONDON,51.607376,-0.1249047
Bow,Tower Hamlets,LONDON,51.5283085,-0.0194816
Bowes Park,Haringey,LONDON,51.6071151,-0.1204347
Brent Cross,Barnet,LONDON,51.5767595,-0.2183801
Brent Park,Brent,LONDON,51.5847777,-0.2991803
Brixton,Lambeth,LONDON,51.4568044,-0.1167959
Brockley,Lewisham,LONDON,51.4578328,-0.0360868
Bromley,Tower Hamlets,LONDON,51.5266309,-0.0172319
Brompton,"Kensington and Chelsea,Hammersmith and Fulham",LONDON,51.4874657,-0.1956381
Brondesbury,Brent,LONDON,51.54502485,-0.202695320896499
Brunswick Park,Barnet,LONDON,51.6262191,-0.1481899
"Burroughs, The",Barnet,LONDON,51.5863721,-0.2303106
Camberwell,Southwark,LONDON,51.4745706,-0.0925416
Cambridge Heath,Tower Hamlets,LONDON,51.5322366,-0.0575296408697955
Camden Town,Camden,LONDON,51.5423045,-0.1395604
Canary Wharf,Tower Hamlets,LONDON,51.50361775,-0.0194327474550901
Cann Hall,Waltham Forest,LONDON,0.0,0.0
Canning Town,Newham,LONDON,51.5181741,0.0134976
Canonbury,Islington,LONDON,51.5485245,-0.0929833911099161
Castelnau,Richmond upon Thames,LONDON,51.4826953,-0.2376876
Catford,Lewisham,LONDON,51.4453215,-0.0197534
Chalk Farm,Camden,LONDON,51.5436179,-0.1508199
Charing Cross,Westminster,LONDON,51.5073603,-0.1273012
Charlton,Greenwich,LONDON,51.4826053,0.0365359
Chelsea,Kensington and Chelsea,LONDON,51.4875417,-0.1682205
Childs Hill,Barnet,LONDON,51.5629822,-0.1972494
Chinatown,Westminster,LONDON,51.5116803,-0.130495929409569
